Date/Time,Close Date,Instrument,Trade Side,Quantity,Entry Price,Exit Price,Fee,Realized PnL,Strategy
2025-11-01 17:00:37,2025-11-01 21:44:37,BTCUSD,long,0.74,3574.14,30495.4,-0.67,38.35,range fade
2025-11-02 13:13:41,2025-11-02 18:12:41,BTCUSD,long,1.9,37874.49,35021.51,-0.78,181.32,range fade
2025-11-02 20:54:51,2025-11-02 23:32:51,SPX500,long,0.3,7155.76,18578.06,-4.17,346.22,mean reversion
2025-11-03 06:25:05,2025-11-03 07:07:05,BTCUSD,long,1.24,29835.23,31950.04,-4.0,228.14,range fade
2025-11-04 08:19:37,2025-11-04 10:01:37,ETHUSD,short,0.17,18084.92,29757.47,-2.05,114.4,range fade
2025-11-05 00:07:01,2025-11-05 03:12:01,ETHUSD,long,1.87,25359.73,57724.94,-0.85,178.89,trend follow
2025-11-05 17:40:52,2025-11-05 21:43:52,BTCUSD,short,1.68,56686.4,28498.49,-3.49,-151.28,breakout
2025-11-07 00:32:26,2025-11-07 04:30:26,US30,short,1.44,53233.71,20885.61,-4.73,-248.38,trend follow
2025-11-07 12:15:15,2025-11-07 14:52:15,ETHUSD,long,1.48,23934.07,55017.29,-2.73,102.92,mean reversion
2025-11-08 09:31:36,2025-11-08 14:22:36,US30,short,1.42,59189.38,40995.11,-2.21,-207.53,mean reversion
2025-11-08 20:39:28,2025-11-08 20:55:28,SPX500,long,1.66,11022.34,16987.65,-1.16,270.24,trend follow
2025-11-09 23:23:29,2025-11-10 03:56:29,BTCUSD,short,0.92,52271.67,57117.98,-3.56,-177.27,range fade
2025-11-10 18:55:33,2025-11-10 19:36:33,ETHUSD,short,0.14,12604.91,9821.96,-2.03,261.03,breakout
2025-11-11 04:24:24,2025-11-11 04:47:24,BTCUSD,long,1.75,36882.73,8998.17,-1.64,-238.0,trend follow
2025-11-12 06:53:03,2025-11-12 11:01:03,SPX500,short,0.97,5244.49,6221.04,-2.04,342.6,trend follow
2025-11-13 05:09:27,2025-11-13 09:49:27,US30,long,0.3,32636.03,1719.85,-2.88,97.98,breakout
2025-11-14 10:49:41,2025-11-14 14:01:41,ETHUSD,short,1.07,46765.39,19846.93,-1.5,365.14,mean reversion
2025-11-15 20:14:05,2025-11-16 00:49:05,SPX500,short,0.72,1835.91,1773.43,-1.76,-68.28,trend follow
2025-11-16 08:49:07,2025-11-16 11:57:07,US30,short,0.17,6219.21,28257.79,-2.02,376.07,range fade
2025-11-17 12:02:13,2025-11-17 12:55:13,BTCUSD,long,1.82,46959.94,45033.41,-2.65,268.13,mean reversion
2025-11-18 08:47:25,2025-11-18 12:19:25,SPX500,short,0.81,56813.14,43515.44,-1.27,379.54,mean reversion
2025-11-18 15:43:37,2025-11-18 19:55:37,US30,short,0.32,32942.31,1381.66,-4.1,-49.35,breakout
2025-11-19 15:37:51,2025-11-19 17:35:51,BTCUSD,long,0.51,17648.7,14508.31,-3.14,351.26,trend follow
2025-11-20 16:08:20,2025-11-20 20:12:20,SPX500,long,1.66,52702.31,7932.72,-1.18,301.17,breakout
2025-11-22 03:48:51,2025-11-22 05:14:51,ETHUSD,long,0.29,37184.16,7308.16,-0.78,-197.37,range fade
2025-11-23 12:28:46,2025-11-23 14:15:46,US30,long,0.09,5954.94,27185.34,-0.63,-28.35,breakout
2025-11-24 09:33:00,2025-11-24 14:16:00,SPX500,long,1.02,14934.58,31440.26,-4.44,-121.3,trend follow
2025-11-25 22:55:28,2025-11-26 00:07:28,SPX500,long,0.89,4445.51,14514.26,-0.83,-47.23,trend follow
2025-11-27 07:34:42,2025-11-27 10:51:42,ETHUSD,long,0.51,8321.55,28117.38,-3.86,-166.21,breakout
2025-11-28 03:07:09,2025-11-28 05:11:09,ETHUSD,short,1.42,59644.95,24288.2,-2.4,273.78,trend follow
2025-11-28 19:56:56,2025-11-28 23:51:56,BTCUSD,short,0.77,31094.29,17797.7,-4.82,230.54,breakout
2025-11-30 11:26:31,2025-11-30 13:51:31,US30,long,0.09,46761.95,16299.72,-1.08,-39.62,range fade
2025-12-01 22:19:40,2025-12-02 02:52:40,SPX500,short,1.4,5458.79,3545.84,-3.6,223.91,range fade
2025-12-03 10:46:03,2025-12-03 13:09:03,BTCUSD,short,1.22,13422.24,15940.61,-1.05,-164.09,breakout
2025-12-04 04:17:55,2025-12-04 05:33:55,BTCUSD,short,1.06,14382.33,6656.14,-1.23,-77.95,breakout
2025-12-04 16:27:27,2025-12-04 18:22:27,US30,short,0.9,40362.22,16304.29,-4.12,-139.81,trend follow
2025-12-04 23:42:50,2025-12-05 01:29:50,SPX500,long,0.5,26878.63,39533.39,-3.43,-144.5,range fade
2025-12-06 00:16:29,2025-12-06 02:16:29,ETHUSD,short,0.69,49953.96,42432.85,-3.36,-87.33,range fade
2025-12-07 15:54:56,2025-12-07 18:14:56,SPX500,long,0.33,5160.64,50492.01,-4.42,-18.35,trend follow
2025-12-08 18:16:27,2025-12-08 20:43:27,SPX500,short,0.02,21912.07,19802.68,-4.93,90.43,trend follow
2025-12-09 08:35:07,2025-12-09 11:36:07,SPX500,short,0.18,16807.84,39395.47,-1.62,89.52,breakout
2025-12-09 17:40:27,2025-12-09 21:11:27,BTCUSD,long,0.61,37817.23,5160.51,-4.81,242.98,mean reversion
2025-12-10 22:01:51,2025-12-11 02:24:51,ETHUSD,short,0.58,37160.56,8770.66,-4.21,-184.36,range fade
2025-12-12 04:58:54,2025-12-12 05:16:54,ETHUSD,long,0.18,2607.54,38263.48,-4.82,-191.92,range fade
2025-12-13 15:23:59,2025-12-13 17:38:59,SPX500,long,0.53,27471.22,4299.68,-4.7,-162.16,breakout
2025-12-14 19:48:57,2025-12-14 20:36:57,US30,long,0.48,45410.84,13921.09,-3.42,-126.36,range fade
2025-12-15 18:36:36,2025-12-15 21:13:36,BTCUSD,short,1.24,38601.5,4740.56,-1.16,365.98,trend follow
2025-12-16 22:45:44,2025-12-17 03:01:44,BTCUSD,short,0.98,58353.29,6061.19,-1.48,-46.36,range fade
2025-12-17 14:39:05,2025-12-17 15:49:05,ETHUSD,short,0.63,5242.67,28429.42,-1.8,197.21,breakout
2025-12-19 00:31:40,2025-12-19 02:28:40,BTCUSD,short,1.17,8590.27,31491.54,-4.79,-105.91,mean reversion
